No	Country	river	coast	land	total
1	Sudan	29.4	0.0	0.0	29.4
2	Algeria	55.9	8.0	36.0	100.0
3	Bahrain	0.0	30.0	0.0	30.0
5	Iraq	0.0	0.0	0.0	0.0
7	Jordan	6.4	0.0	64.7	71.1
8	Kuwait	10.0	258.6	0.0	268.4
9	Lebanon	0.0	0.0	2.0	2.0
10	Libyan	0.0	40.2	0.0	40.2
11	Morocco	2.8	26.1	46.9	75.8
12	Oman	0.5	64.2	5.3	70.0
13	Qatar	0	136	0	136
14	SaudiArabia	4	200	188	392
15	Syria	0.0	0.0	0.0	0.0
16	Tunisia	6	27	1	34
17	UAE	1	406	116	540
18	WestBank	0.5	0.0	5.6	6.1
19	Yemen	0	12	24	36.1
20	Egypt	110.9	44.0	133.9	288.7
21	Mauritania	0.0	0.0	0.0	0.0
